reviewid,artist,genre,album_title,score,pub_year,year,url,dupRevCount
9460,xasthur,rock,subliminal genocide,7.8,2006,2006,http://pitchfork.com/reviews/albums/9460-subliminal-genocide/,16
9417,easy star all-stars,global,radiodread,7.0,2006,2006,http://pitchfork.com/reviews/albums/9417-radiodread/,8
10767,bembeya jazz national,pop/r&b,the syliphone years,7.6,2007,2007,http://pitchfork.com/reviews/albums/10767-the-syliphone-years/,6
11668,nadja,rock,skin turns to glass,7.0,2008,2008,http://pitchfork.com/reviews/albums/11668-skin-turns-to-glassbliss-torn-from-emptiness/,6
351,auburn lull,rock,alone i admire,9.0,2002,2002,http://pitchfork.com/reviews/albums/351-alone-i-admire/,4
1185,boris,rock,pink,8.7,2006,2006,http://pitchfork.com/reviews/albums/1185-pink/,4
1765,"!!!, out hud",rock,split ep,6.0,2004,2004,http://pitchfork.com/reviews/albums/1765-split-ep/,4
2623,dabrye,rap,instrmntl,7.9,2005,2005,http://pitchfork.com/reviews/albums/2623-instrmntl/,4
3199,fridge,rock,eph reissue,6.8,2002,2002,http://pitchfork.com/reviews/albums/3199-eph-reissue/,4
3890,the hives,rock,veni vidi vicious,7.4,2002,2002,http://pitchfork.com/reviews/albums/3890-veni-vidi-vicious/,4
3926,hot hot heat,rock,scenes one through thirteen,4.7,2003,2003,http://pitchfork.com/reviews/albums/3926-scenes-one-through-thirteen/,4
4426,the kills,rock,black rooster ep,7.4,2003,2003,http://pitchfork.com/reviews/albums/4426-black-rooster-ep/,4
4825,the locust,rock,the locust ep,6.0,2004,2004,http://pitchfork.com/reviews/albums/4825-the-locust-ep/,4
4962,les georges leningrad,rock,deux hot dogs moutarde chou,7.4,2004,2004,http://pitchfork.com/reviews/albums/4962-deux-hot-dogs-moutarde-chou/,4
5012,m83,rock,m83,6.5,2005,2005,http://pitchfork.com/reviews/albums/5012-m83/,4
5078,manitoba,rock,start breaking my heart,8.0,2002,2002,http://pitchfork.com/reviews/albums/5078-start-breaking-my-heart/,4
6968,sahara hotnights,rock,c'mon let's pretend,6.8,2003,2003,http://pitchfork.com/reviews/albums/6968-cmon-lets-pretend/,4
7026,ulrich schnauss,rock,far away trains passing by,6.9,2006,2005,http://pitchfork.com/reviews/albums/7026-far-away-trains-passing-by/,4
7490,stereo total,pop/r&b,musique automatique,8.0,2002,2002,http://pitchfork.com/reviews/albums/7490-musique-automatique/,4
8317,tunng,rock,mother's daughter...and other songs,6.5,2006,2006,http://pitchfork.com/reviews/albums/8317-mothers-daughterand-other-songs/,4
9180,boris,rock,dronevil final,8.0,2006,2006,http://pitchfork.com/reviews/albums/9180-dronevil-final/,4
9231,xtc,rock,apple box,7.8,2006,2006,http://pitchfork.com/reviews/albums/9231-apple-box/,4
9454,the mooney suzuki,rock,the maximum black ep,7.6,2006,2006,http://pitchfork.com/reviews/albums/9454-the-maximum-black-ep/,4
9787,"boris, michio kurihara",rock,rainbow,8.2,2007,2007,http://pitchfork.com/reviews/albums/9787-rainbow/,4
9802,thomas mapfumo and the blacks unlimited,pop/r&b,rise up,8.0,2007,2006,http://pitchfork.com/reviews/albums/9802-rise-up/,4
11552,shy child,rock,noise won't stop,8.0,2008,2008,http://pitchfork.com/reviews/albums/11552-noise-wont-stop/,4
11652,xasthur,rock,defective epitaph,6.9,2008,2008,http://pitchfork.com/reviews/albums/11652-defective-epitaph-a-gate-through-bloodstained-mirrors/,4
12255,stereophonics,rock,pull the pin,3.4,2008,2008,http://pitchfork.com/reviews/albums/12255-pull-the-pin/,4
14336,"major lazer, la roux",rock,lazerproof,7.2,2010,2010,http://pitchfork.com/reviews/albums/14336-lazerproof/,4
16130,sunn o))),metal, void,7.5,2012,2011,http://pitchfork.com/reviews/albums/16130-void-the-iron-soul-of-nothing/,4
16423,"cam'ron, vado, mckenzie eddy",rap,blu tops ep,4.2,2012,2012,http://pitchfork.com/reviews/albums/16423-camronski-beatzvado-blu-tops/,4
455,ammoncontact,rap,one in an infinity of ways,6.9,2004,2004,http://pitchfork.com/reviews/albums/455-one-in-an-infinity-of-ways/,3
461,alog,rock,miniatures,8.4,2005,2005,http://pitchfork.com/reviews/albums/461-miniatures/,3
462,alog,rock,catch that totem! (1998-2005),8.0,2006,2005,http://pitchfork.com/reviews/albums/462-catch-that-totem-1998-2005/,3
757,black eyes,rock,black eyes,7.9,2003,2003,http://pitchfork.com/reviews/albums/757-black-eyes/,3
758,black eyes,rock,cough,6.9,2004,2004,http://pitchfork.com/reviews/albums/758-cough/,3
1031,"busdriver, daedelus, radioinactive",rap,the weather,8.5,2003,2003,http://pitchfork.com/reviews/albums/1031-the-weather/,3
1101,bravehearts,rap,bravehearted,2.5,2004,2003,http://pitchfork.com/reviews/albums/1101-bravehearted/,3
1172,buckshot,rap,chemistry,7.8,2005,2005,http://pitchfork.com/reviews/albums/1172-chemistry/,3
1196,belong,rock,october language,8.0,2006,2006,http://pitchfork.com/reviews/albums/1196-october-language/,3
1711,"holger czukay, u-she",rock,the new millennium,7.6,2003,2003,http://pitchfork.com/reviews/albums/1711-the-new-millennium/,3
1719,country teasers,pop/r&b,secret weapon revealed at last,3.1,2003,2003,http://pitchfork.com/reviews/albums/1719-secret-weapon-revealed-at-last/,3
1781,cut chemist,rap,the litmus test,6.1,2004,2004,http://pitchfork.com/reviews/albums/1781-the-litmus-test/,3
2364,dj krush,rap,the message at the depth,4.2,2003,2003,http://pitchfork.com/reviews/albums/2364-the-message-at-the-depth/,3
2366,dj krush,rap,jaku,7.3,2004,2004,http://pitchfork.com/reviews/albums/2366-jaku/,3
2372,"cut chemist, dj shadow",rap,product placement,6.0,2002,2001,http://pitchfork.com/reviews/albums/2372-product-placement/,3
2384,"dj spooky, scanner",metal,the quick and the dead,7.6,2000,2000,http://pitchfork.com/reviews/albums/2384-the-quick-and-the-dead/,3
2387,"dj spooky, killah priest, ward 29",rap,catechism,6.0,2003,2002,http://pitchfork.com/reviews/albums/2387-catechism/,3
2498,dwarves,rock,must die,3.3,2004,2004,http://pitchfork.com/reviews/albums/2498-must-die/,3
2503,dysrhythmia,rock,pretest,6.9,2003,2003,http://pitchfork.com/reviews/albums/2503-pretest/,3
2507,dave derby,rock,even further behind,7.1,2003,2003,http://pitchfork.com/reviews/albums/2507-even-further-behind/,3
2554,deathprod,rock,morals and dogma,8.3,2004,2004,http://pitchfork.com/reviews/albums/2554-morals-and-dogma/,3
2692,"ekkehard ehlers, joseph suchy, franz hautzinger",rock,soundchambers,7.8,2004,2004,http://pitchfork.com/reviews/albums/2692-soundchambers/,3
2780,alec empire,rock,futurist,3.7,2005,2005,http://pitchfork.com/reviews/albums/2780-futurist/,3
2931,exile,rap,pro agonist,6.9,2005,2005,http://pitchfork.com/reviews/albums/2931-pro-agonist/,3
3055,fila brazillia,pop/r&b,jump leeds,7.8,2002,2002,http://pitchfork.com/reviews/albums/3055-jump-leeds/,3
3283,anton fier,rock,dreamspeed/blind light (1992-1994),8.5,2004,2003,http://pitchfork.com/reviews/albums/3283-dreamspeedblind-light-1992-1994/,3
3329,the frequency,rap,the frequency,6.9,2004,2004,http://pitchfork.com/reviews/albums/3329-the-frequency/,3
3583,"david grubbs, mats gustafsson",rock,off-road,6.8,2003,2003,http://pitchfork.com/reviews/albums/3583-off-road/,3
3831,the herbaliser,pop/r&b,something wicked this way comes,7.0,2002,2002,http://pitchfork.com/reviews/albums/3831-something-wicked-this-way-comes/,3
3993,"the autumn defense, hem",rock,"birds, beasts & flowers ep",6.8,2004,2004,http://pitchfork.com/reviews/albums/3993-birds-beasts-flowers-ep-split-with-autumn-defense/,3
4387,karate,rock,pockets,8.2,2004,2004,http://pitchfork.com/reviews/albums/4387-pockets/,3
4388,karate,rock,in the fishtank 12 ep,6.8,2005,2005,http://pitchfork.com/reviews/albums/4388-in-the-fishtank-12-ep/,3
4642,laika,rock,wherever i am i am what is missing,5.1,2004,2003,http://pitchfork.com/reviews/albums/4642-wherever-i-am-i-am-what-is-missing/,3
4866,loscil,rock,triple point,6.9,2001,2001,http://pitchfork.com/reviews/albums/4866-triple-point/,3
4867,loscil,rock,submers,8.0,2003,2002,http://pitchfork.com/reviews/albums/4867-submers/,3
5098,roots manuva,rap,run come save me,4.1,2001,2001,http://pitchfork.com/reviews/albums/5098-run-come-save-me/,3
5099,roots manuva,rap,brand new secondhand,9.5,1999,1999,http://pitchfork.com/reviews/albums/5099-brand-new-secondhand/,3
5310,ministry,rock,rantology,2.0,2006,2005,http://pitchfork.com/reviews/albums/5310-rantology/,3
5311,ministry,rock,rio grande blood,6.4,2006,2006,http://pitchfork.com/reviews/albums/5311-rio-grande-blood/,3
5395,money mark,pop/r&b,change is coming,6.5,2001,2001,http://pitchfork.com/reviews/albums/5395-change-is-coming/,3
5424,morcheeba,pop/r&b,fragments of freedom,5.1,2000,2000,http://pitchfork.com/reviews/albums/5424-fragments-of-freedom/,3
5425,morcheeba,pop/r&b,charango,3.6,2002,2002,http://pitchfork.com/reviews/albums/5425-charango/,3
5427,morcheeba,pop/r&b,the antidote,2.7,2005,2005,http://pitchfork.com/reviews/albums/5427-the-antidote/,3
5617,"diplo, m.i.a.",pop/r&b,"piracy funds terrorism, vol. 1",8.5,2004,2004,http://pitchfork.com/reviews/albums/5617-piracy-funds-terrorism-vol-1/,3
5765,new flesh,rock,understanding,5.5,2002,2002,http://pitchfork.com/reviews/albums/5765-understanding/,3
